Date,market-cap
2010-09-27,247413
2010-09-30,248763
2010-10-03,250086
2010-10-06,251415
2010-10-09,421230
2010-10-12,508122
2010-10-14,425660
2010-10-16,513456
2010-10-18,430125
2010-10-20,432350
2010-10-22,478038
2010-10-25,786303
2010-10-27,834204.5
2010-10-29,838422.5
2010-10-30,842669
2010-11-02,891440
2010-11-04,1209451.5
2010-11-06,1125400
2010-11-08,2126186
2010-11-10,1454688
2010-11-12,1096320
2010-11-14,1377150
2010-11-16,1291598
2010-11-18,1297926
2010-11-21,1350704
2010-11-24,1357185.5
2010-11-26,1363623.5
2010-11-29,1322818
2010-12-01,1234181
2010-12-03,1239927
2010-12-05,1197875
2010-12-07,1107185.5
2010-12-09,1208987.5
2010-12-12,1117409
2010-12-15,1122538
2010-12-17,1225837.5
2010-12-20,1280695
2010-12-22,1336054.5
2010-12-25,1242587.5
2010-12-28,1347988.5
2010-12-31,1504470
2011-01-02,1511145
2011-01-05,1517760
2011-01-08,1626016
2011-01-11,1684138.5
2011-01-13,1845288
2011-01-16,2059180
2011-01-19,1964657
2011-01-21,1973150
2011-01-24,2294490
2011-01-26,2251824
2011-01-29,2366527.5
2011-02-01,3221410
2011-02-04,4136613
2011-02-06,4899368
2011-02-08,4812795
2011-02-11,5799222
2011-02-13,5876844
2011-02-15,5846850
2011-02-17,5707747.5
2011-02-19,5676320
2011-02-22,4822532
2011-02-24,5227185
2011-02-26,5524350
2011-02-27,5435423
2011-03-02,5401299.5
2011-03-04,5255023
2011-03-06,5163500
2011-03-08,5127440.5
2011-03-11,5034507.5
2011-03-15,5111010
2011-03-18,4959739.5
2011-03-21,4521209.5
2011-03-25,5170725
2011-03-27,5190705
2011-03-30,4631600
2011-04-02,4649560
2011-04-04,4667440
2011-04-07,4392862.5
2011-04-10,4526984
2011-04-12,4780134
2011-04-15,5804932
2011-04-18,6599616
2011-04-21,7161120
2011-04-23,8265579
2011-04-26,10279921.5
2011-04-28,12791232
2011-04-30,18469427.5
2011-05-03,21210998.5
2011-05-05,21715288
2011-05-07,22161097
2011-05-09,24022649
2011-05-11,33358871.5
2011-05-14,52970992
2011-05-15,54773964
2011-05-17,52786310.5
2011-05-19,48470050
2011-05-21,43808923
2011-05-23,42891763.5
2011-05-24,46708125.5
2011-05-26,50422477.5
2011-05-28,56515872
2011-05-31,58244880
2011-06-02,61970678.5
2011-06-04,96779777.5
2011-06-06,122921077.5
2011-06-09,205957026
2011-06-11,219583390
2011-06-12,187734240
