DATE,CPIAUCSL_PC1
2010-01-01,2.62111
2010-02-01,2.15134
2010-03-01,2.28617
2010-04-01,2.20677
2010-05-01,2.00355
2010-06-01,1.12156
2010-07-01,1.34078
2010-08-01,1.15018
2010-09-01,1.11831
2010-10-01,1.16670
2010-11-01,1.08454
2010-12-01,1.43779
2011-01-01,1.70078
2011-02-01,2.12490
2011-03-01,2.61924
2011-04-01,3.07723
2011-05-01,3.45897
2011-06-01,3.50232
2011-07-01,3.57988
2011-08-01,3.75500
2011-09-01,3.81262
2011-10-01,3.52227
2011-11-01,3.45143
2011-12-01,3.06207
2012-01-01,3.00877
2012-02-01,2.89818
2012-03-01,2.58288
2012-04-01,2.27316
2012-05-01,1.73794
2012-06-01,1.65387
2012-07-01,1.41751
2012-08-01,1.68593
2012-09-01,1.94972
2012-10-01,2.15568
2012-11-01,1.79602
2012-12-01,1.75950
2013-01-01,1.68406
2013-02-01,2.01814
2013-03-01,1.51875
2013-04-01,1.13881
2013-05-01,1.39039
2013-06-01,1.71579
2013-07-01,1.88547
2013-08-01,1.53881
2013-09-01,1.09473
2013-10-01,0.87680
2013-11-01,1.23287
2013-12-01,1.51284
2014-01-01,1.55776
2014-02-01,1.12047
2014-03-01,1.61269
2014-04-01,2.01513
2014-05-01,2.16695
2014-06-01,2.05898
2014-07-01,1.97424
2014-08-01,1.71510
2014-09-01,1.68405
2014-10-01,1.60954
2014-11-01,1.23152
2014-12-01,0.65312
2015-01-01,-0.22993
2015-02-01,-0.08703
2015-03-01,-0.02203
2015-04-01,-0.10403
2015-05-01,0.03503
2015-06-01,0.17957
2015-07-01,0.22569
2015-08-01,0.24130
2015-09-01,0.00884
2015-10-01,0.12762
2015-11-01,0.43632
2015-12-01,0.63872
2016-01-01,1.23750
2016-02-01,0.84728
2016-03-01,0.89162
2016-04-01,1.17263
2016-05-01,1.07848
2016-06-01,1.07929
2016-07-01,0.86836
2016-08-01,1.05532
2016-09-01,1.54864
2016-10-01,1.68592
2016-11-01,1.68433
2016-12-01,2.05080
2017-01-01,2.51123
2017-02-01,2.75390
2017-03-01,2.38827
2017-04-01,2.21012
2017-05-01,1.88348
2017-06-01,1.66346
2017-07-01,1.74052
2017-08-01,1.93727
2017-09-01,2.22866
2017-10-01,2.03358
2017-11-01,2.21133
2017-12-01,2.10149
2018-01-01,2.09383
2018-02-01,2.22576
2018-03-01,2.35923
2018-04-01,2.45667
2018-05-01,2.75209
2018-06-01,2.83927
2018-07-01,2.89217
2018-08-01,2.66308
2018-09-01,2.28431
2018-10-01,2.53064
2018-11-01,2.20068
2018-12-01,1.92019
2019-01-01,1.49565
2019-02-01,1.47172
2019-03-01,1.85558
2019-04-01,2.01818
2019-05-01,1.82825
2019-06-01,1.70056
2019-07-01,1.82220
2019-08-01,1.74112
2019-09-01,1.72454
2019-10-01,1.77462
2019-11-01,2.04373
2019-12-01,2.26145
2020-01-01,2.47424
2020-02-01,2.31451
2020-03-01,1.51172
2020-04-01,0.33917
2020-05-01,0.22360
2020-06-01,0.72781
2020-07-01,1.04679
2020-08-01,1.32478
2020-09-01,1.40996
2020-10-01,1.19470
2020-11-01,1.13881
2020-12-01,1.30014
2021-01-01,1.37000
2021-02-01,1.67566
