DATE,DCOILWTICO_PC1
2010-01-04,67.70212
2010-01-05,68.32784
2010-01-06,94.43275
2010-01-07,98.17658
2010-01-08,103.34234
2010-01-11,119.22975
2010-01-12,113.89992
2010-01-13,112.82394
2010-01-14,124.08924
2010-01-15,120.35048
2010-01-18,.
2010-01-19,104.77055
2010-01-20,81.90789
2010-01-21,79.16371
2010-01-22,64.56117
2010-01-25,61.07527
2010-01-26,79.19366
2010-01-27,75.16651
2010-01-28,77.05628
2010-01-29,74.57465
2010-02-01,79.95163
2010-02-02,88.91608
2010-02-03,91.11001
2010-02-04,77.71567
2010-02-05,76.81412
2010-02-08,81.58161
2010-02-09,96.35056
2010-02-10,107.29196
2010-02-11,121.06964
2010-02-12,96.94393
2010-02-15,.
2010-02-16,120.19451
2010-02-17,122.87280
2010-02-18,99.41919
2010-02-19,102.71919
2010-02-22,112.53319
2010-02-23,102.29027
2010-02-24,91.52257
2010-02-25,80.61603
2010-02-26,80.56625
2010-03-01,96.43125
2010-03-02,91.53236
2010-03-03,78.68816
2010-03-04,84.22141
2010-03-05,79.39687
2010-03-08,74.11189
2010-03-09,78.41506
2010-03-10,93.28780
2010-03-11,75.01599
2010-03-12,75.81134
2010-03-15,68.58229
2010-03-16,66.93894
2010-03-17,72.33998
2010-03-18,59.65799
2010-03-19,56.31426
2010-03-22,53.17625
2010-03-23,53.07346
2010-03-24,53.69449
2010-03-25,48.96974
2010-03-26,52.16562
2010-03-29,68.94205
2010-03-30,65.47139
2010-03-31,72.20388
2010-04-01,60.67288
2010-04-02,.
2010-04-05,69.00196
2010-04-06,76.14492
2010-04-07,73.46567
2010-04-08,63.03599
2010-04-09,.
2010-04-12,67.40342
2010-04-13,69.25874
2010-04-14,73.81242
2010-04-15,70.60236
2010-04-16,64.75377
2010-04-19,77.91357
2010-04-20,77.87781
2010-04-21,74.60451
2010-04-22,71.04829
2010-04-23,66.51530
2010-04-26,70.82573
2010-04-27,68.19017
2010-04-28,65.80992
2010-04-29,69.15591
2010-04-30,64.94826
2010-05-03,58.29201
2010-05-04,53.74466
2010-05-05,42.12116
2010-05-06,36.19199
2010-05-07,28.20075
2010-05-10,33.05070
2010-05-11,29.85887
2010-05-12,30.43103
2010-05-13,26.97166
2010-05-14,26.69851
2010-05-17,18.79980
2010-05-18,16.56586
2010-05-19,13.76729
2010-05-20,12.87816
2010-05-21,11.25102
2010-05-24,.
2010-05-25,3.68118
2010-05-26,12.78978
2010-05-27,14.54909
2010-05-28,11.59704
2010-05-31,.
2010-06-01,6.00758
2010-06-02,10.19050
2010-06-03,8.45930
2010-06-04,4.38404
2010-06-07,5.14328
2010-06-08,2.65638
2010-06-09,4.20286
2010-06-10,3.83822
2010-06-11,2.44004
2010-06-14,6.30848
2010-06-15,9.03931
2010-06-16,9.28662
2010-06-17,7.56091
2010-06-18,10.89080
2010-06-21,16.02325
2010-06-22,12.12033
2010-06-23,11.38832
2010-06-24,8.98135
2010-06-25,13.43262
2010-06-28,9.50049
2010-06-29,8.75107
2010-06-30,9.04501
2010-07-01,9.40312
2010-07-02,.
2010-07-05,.
2010-07-06,14.44020
2010-07-07,23.10889
2010-07-08,25.01657
2010-07-09,26.94811
2010-07-12,25.53191
2010-07-13,29.41966
2010-07-14,25.25614
2010-07-15,23.52183
2010-07-16,19.50913
2010-07-19,19.70906
2010-07-20,19.30258
2010-07-21,18.10158
2010-07-22,19.53101
2010-07-23,17.50299
2010-07-26,15.49605
2010-07-27,15.19929
2010-07-28,21.50741
2010-07-29,17.04036
2010-07-30,13.84638
2010-08-02,13.49350
2010-08-03,15.57423
2010-08-04,14.61720
2010-08-05,13.95220
2010-08-06,13.66775
2010-08-09,15.39878
2010-08-10,15.51972
2010-08-11,11.42979
2010-08-12,7.24104
2010-08-13,11.67234
2010-08-16,12.66487
2010-08-17,9.44814
2010-08-18,3.92887
2010-08-19,2.83149
2010-08-20,0.45131
2010-08-23,-1.31650
2010-08-24,-0.50279
2010-08-25,0.96666
2010-08-26,1.20017
2010-08-27,3.36909
2010-08-30,6.74575
2010-08-31,5.60857
2010-09-01,8.73144
2010-09-02,10.44183
2010-09-03,9.66887
2010-09-06,.
2010-09-07,4.07991
2010-09-08,4.74253
2010-09-09,3.19666
2010-09-10,10.18171
2010-09-13,12.06796
2010-09-14,8.43101
2010-09-15,4.71724
2010-09-16,2.89735
2010-09-17,2.33495
2010-09-20,7.26986
